num_interests,reach
11,11175452.04269
12,7082398.1131768
13,6591303.564459
14,6587873.6626063
15,6551760.7901647
16,6017747.4564727
17,4582067.1937314
18,4231428.2826979
19,4234863.717924
20,1933754.8056379
21,1799353.692541
22,1838037.8132077
23,1783363.8456896
24,1689904.495418
1,98264705.580657
2,103720882.27875
3,96324964.909937
4,92693042.173895
5,84270726.963916
6,23965379.612933
7,23965379.612933
8,17732543.945911
9,17152187.157685
10,9140137.2908367
11,3979706.1981924
12,3839038.6420704
13,3839038.6420704
14,3461929.0194899
15,3477407.2533337
16,3012445.7929106
17,2861290.1100799
18,2861290.1100799
19,2881747.8902566
20,1644588.6709098
21,1603684.5159272
22,1500622.3353345
23,806849.95942896
24,766164.50032017
1,98264705.580657
2,70064327.851693
3,69503974.284907
4,47227297.108496
5,14381566.302719
6,14302637.999919
7,14167964.662473
8,13658500.595557
9,6334748.5170026
10,6334748.5170026
11,4641757.8532538
12,3893543.082819
13,2379108.392421
14,2354364.1267949
15,2360824.0099574
16,1898502.9471443
17,1897203.7380527
18,1822170.73473
19,1195243.974393
20,476404.22735233
21,476975.98727561
22,474700.64616609
23,473640.32568761
24,460257.11972351
1,98264705.580657
2,70064327.851693
3,46468739.253166
4,53104738.01817
5,34029597.191204
6,39961547.502341
7,39961547.502341
8,26387251.929078
9,21944879.472779
10,21654050.120295
11,6413119.1308619
12,6412782.9735313
13,5407599.3240536
14,5283102.4482323
15,4143582.6239761
16,4003466.2945952
17,1975850.2314661
18,1885418.5071554
19,966168.77313464
20,700186.54189374
21,700186.54189374
22,700186.54189374
23,699095.96437044
24,699095.96437044
1,24803268.454762
2,18378166.815452
3,18452280.372259
4,5865248.0269315
5,5865248.0269315
6,5486548.5476873
7,5124091.3969311
8,1920166.5819466
9,1874783.4106481
10,1876237.6786454
11,1580996.4054569
12,1263711.8405926
13,1262924.9698114
14,1262924.9698114
15,1262924.9698114
16,81182.362068416
17,70065.389279961
18,69922.610386878
19,64132.737581698
20,64132.737581698
21,64132.737581698
22,64159.059461773
23,16001.542324002
24,18094.097818582
1,28390465.893505
2,18176573.53271
3,6470530.1417829
4,6470530.1417829
5,6470530.1417829
6,6470530.1417829
7,6391947.7767301
8,6391947.7767301
9,6391947.7767301
10,3176937.7850047
11,3176937.7850047
12,3176937.7850047
13,2971122.215938
14,2878314.5004074
15,901786.90746437
16,923007.13513882
17,923007.13513882
18,872502.7655389
19,110384.53262957
20,110334.75595081
21,18973.982329626
22,10992.434481711
23,10992.434481711
24,10992.434481711
1,33841033.378392
2,31837448.8232
3,31837448.8232
4,18501273.108249
5,4683890.2482908
6,2582628.1523071
7,2588748.3019343
8,2589000.372909
9,1668589.9935161
10,1668589.9935161
11,1285616.8682645
12,1137505.4419123
13,1137505.4419123
14,1092724.3563394
15,1092724.3563394
16,196394.40425948
17,196394.40425948
18,189845.69341865
19,23389.536910433
20,23296.852588385
21,23281.874151895
22,23281.874151895
23,3899.3529327382
24,169.38664204001
1,7315366.3558658
2,5647051.2696096
3,5641866.7458328
4,5588943.0742112
5,2501799.216247
6,2055636.1426738
7,1635752.8798424
8,1045977.9457008
9,1076575.9835351
10,741693.56895531
